2; 5; 1000; 0.001; 1834813; 11417; 0; 5183; 1802195; 14585; 68479; 16.1647; 10.9444; 21.0386; 17286; 14221; 22443; 9.19811; 91088; 0; 1; 0; {804 - 1744 - 4557 - 27056 - 108188 - }; 
1; 5; 1000; 0.001; 81738; 11417; 0; 3522; 59961; 2396; 785.202; 97.2986; 85.8485; 130.727; 65537; 55531; 81091; 7.17154; 71019; 0; 1; 0; {14493 - 59831 - 140891 - 148457 - 265427 - }; 
2; 5; 1000; 0.001; 1823412; 11417; 0; 4001; 1802156; 2697; 191671; 97.2986; 85.8485; 130.727; 65537; 55531; 81091; 23.7007; 234706; 0; 1; 0; {14493 - 59831 - 140891 - 148457 - 265427 - }; 
2; 15; 1000; 0.001; 1822093; 11417; 0; 4023; 1802831; 2519; 139395; 19.6978; 3.58977; 71.3011; 15531; 9385; 22443; 17.8991; 177253; 0; 1; 0; {542 - 758 - 801 - 804 - 859 - 1744 - 2838 - 4557 - 7690 - 8130 - 27056 - 76607 - 94824 - 108188 - 263853 - }; 
1; 15; 1000; 0.001; 110200; 11417; 0; 3354; 77174; 18601; 2069.2; 86.1371; 67.5409; 130.727; 56036; 19882; 81091; 16.2099; 160525; 0; 1; 0; {859 - 8028 - 14493 - 50441 - 57661 - 59831 - 99114 - 100254 - 111999 - 125710 - 130200 - 135138 - 140891 - 148457 - 265427 - }; 
2; 15; 1000; 0.001; 1824200; 11417; 0; 2732; 1803118; 4068; 308874; 86.1371; 67.5409; 130.727; 56036; 19882; 81091; 37.2587; 368969; 0; 1; 0; {859 - 8028 - 14493 - 50441 - 57661 - 59831 - 99114 - 100254 - 111999 - 125710 - 130200 - 135138 - 140891 - 148457 - 265427 - }; 
2; 30; 1000; 0.001; 1846188; 11417; 0; 3277; 1802846; 28713; 248157; 18.3231; 3.58977; 71.3011; 17698; 9385; 47952; 30.552; 302553; 0; 1; 0; {542 - 758 - 801 - 804 - 859 - 987 - 1328 - 1744 - 2551 - 2838 - 4557 - 4936 - 7690 - 8130 - 27056 - 63038 - 76607 - 82339 - 94824 - 95904 - 108188 - 173050 - 176473 - 188323 - 217490 - 217850 - 242357 - 263853 - 332515 - 361111 - }; 
1; 30; 1000; 0.001; 91843; 11417; 0; 3457; 66664; 9149; 3669.01; 75.2783; 57.2184; 130.727; 51788; 19882; 81091; 24.1816; 239468; 0; 1; 0; {859 - 8028 - 14493 - 47868 - 50441 - 57661 - 59831 - 66789 - 78194 - 95340 - 99114 - 99460 - 99567 - 100254 - 111999 - 116493 - 118622 - 125710 - 130200 - 131925 - 135138 - 140891 - 146033 - 148457 - 172891 - 176378 - 204984 - 212517 - 230902 - 265427 - }; 
2; 30; 1000; 0.001; 1820017; 11417; 0; 3530; 1802845; 3976; 395666; 75.2783; 57.2184; 130.727; 51788; 19882; 81091; 47.0182; 465617; 0; 1; 0; {859 - 8028 - 14493 - 47868 - 50441 - 57661 - 59831 - 66789 - 78194 - 95340 - 99114 - 99460 - 99567 - 100254 - 111999 - 116493 - 118622 - 125710 - 130200 - 131925 - 135138 - 140891 - 146033 - 148457 - 172891 - 176378 - 204984 - 212517 - 230902 - 265427 - }; 
2; 50; 1000; 0.001; 1822942; 11417; 0; 5201; 1802250; 5158; 339415; 19.4918; 3.58977; 71.3011; 19162; 9385; 47952; 40.8053; 404091; 0; 1; 0; {542 - 758 - 801 - 804 - 859 - 987 - 1328 - 1744 - 2551 - 2838 - 4557 - 4936 - 7690 - 8130 - 8349 - 21394 - 26735 - 27056 - 50465 - 58968 - 63038 - 75997 - 76607 - 82339 - 94824 - 95904 - 108188 - 112563 - 112864 - 125240 - 128466 - 164984 - 165538 - 172313 - 173050 - 175239 - 175261 - 176473 - 176547 - 188323 - 206982 - 217490 - 217850 - 242357 - 263853 - 272797 - 332515 - 349464 - 361111 - 492093 - }; 
